models,meta,n_models,accuracy,f1,roc_auc
logreg+lgbm+xgb,meta_logreg,3,0.8326,0.8320962888665998,0.90278136
logreg+xgb,meta_logreg,2,0.8329,0.8324140006017451,0.90274004
logreg+lgbm,meta_logreg,2,0.8335,0.8329152032112394,0.9026492800000001
logreg+lgbm+xgb,meta_xgb,3,0.8339,0.832779623477298,0.90147724
logreg+lgbm,meta_lgbm,2,0.8345,0.8329126703685008,0.90133984
logreg+lgbm+xgb,meta_lgbm,3,0.8335,0.8318011920396,0.90128794
logreg+lgbm,meta_xgb,2,0.8345,0.8335847159376572,0.9012875600000001
logreg+xgb,meta_xgb,2,0.8338,0.8325946817082998,0.9010756
logreg+xgb,meta_lgbm,2,0.8348,0.8332660476382721,0.90100302
lgbm+xgb,meta_logreg,2,0.8277,0.8257307575604329,0.90045536
lgbm+xgb,meta_xgb,2,0.8271,0.8236613972463029,0.89944298
lgbm+xgb,meta_lgbm,2,0.826,0.8235294117647058,0.8993289199999999
