models,n_models,weights,accuracy,f1,roc_auc
logreg+lgbm+xgb,3,"(5, 1, 3)",0.8323,0.831236791788266,0.9030138
logreg+lgbm+xgb,3,"(4, 1, 2)",0.8326,0.8315895372233401,0.90301188
logreg+lgbm+xgb,3,"(5, 2, 2)",0.832,0.8310199155099578,0.9030096400000001
logreg+lgbm+xgb,3,"(5, 2, 3)",0.8324,0.8312185297079557,0.90299988
logreg+lgbm+xgb,3,"(3, 1, 1)",0.8322,0.8312210822772078,0.90299172
logreg+lgbm+xgb,3,"(2, 1, 1)",0.8322,0.8310851620696598,0.9029901600000001
logreg+lgbm+xgb,3,"(4, 2, 2)",0.8322,0.8310851620696598,0.9029901600000001
logreg+lgbm+xgb,3,"(3, 1, 2)",0.832,0.8308838332997786,0.9029896000000001
logreg+lgbm+xgb,3,"(5, 1, 2)",0.8326,0.831623415811708,0.90297944
logreg+lgbm+xgb,3,"(4, 1, 3)",0.8321,0.8309334407411136,0.9029776
logreg+lgbm+xgb,3,"(5, 3, 2)",0.8316,0.8304811757600161,0.90297356
logreg+lgbm+xgb,3,"(5, 1, 4)",0.832,0.8308157099697885,0.9029729200000001
logreg+lgbm+xgb,3,"(4, 2, 1)",0.8326,0.831623415811708,0.90297012
logreg+lgbm+xgb,3,"(5, 3, 1)",0.8323,0.8312028183190739,0.9029614000000001
logreg+xgb,2,"(3, 2)",0.8326,0.831623415811708,0.9029602399999999
logreg+lgbm+xgb,3,"(3, 2, 1)",0.8317,0.8305647840531561,0.9029584799999999
logreg+xgb,2,"(5, 4)",0.832,0.8308497784937575,0.9029575599999999
logreg+xgb,2,"(4, 3)",0.8322,0.8310851620696598,0.9029557599999999
logreg+lgbm+xgb,3,"(5, 2, 1)",0.8327,0.8318423962207258,0.9029546399999999
logreg+xgb,2,"(5, 3)",0.8326,0.831623415811708,0.90293728
logreg+lgbm+xgb,3,"(5, 2, 4)",0.8321,0.8307630279205725,0.90293616
logreg+lgbm+xgb,3,"(5, 3, 3)",0.8316,0.8303445496675398,0.90293356
logreg+lgbm+xgb,3,"(4, 3, 1)",0.8319,0.8308002013085053,0.90293016
logreg+lgbm+xgb,3,"(4, 2, 3)",0.8321,0.8307971379623098,0.9029243200000001
logreg+lgbm+xgb,3,"(4, 1, 1)",0.8327,0.8318761933474023,0.90292308
logreg+lgbm+xgb,3,"(5, 4, 1)",0.8318,0.8306825045298973,0.9029121600000001
logreg+lgbm+xgb,3,"(5, 4, 2)",0.8315,0.8302267002518892,0.9029001600000001
logreg+xgb,2,"(2, 1)",0.8337,0.8329146990857028,0.9028980000000001
logreg+xgb,2,"(4, 2)",0.8337,0.8329146990857028,0.9028980000000001
logreg+lgbm+xgb,3,"(4, 3, 2)",0.8317,0.8304282115869017,0.9028978400000001
logreg+xgb,2,"(2, 2)",0.8316,0.8304811757600161,0.9028942799999999
logreg+xgb,2,"(1, 1)",0.8316,0.8304811757600161,0.9028942799999999
logreg+xgb,2,"(3, 3)",0.8316,0.8304811757600161,0.9028942799999999
logreg+xgb,2,"(5, 5)",0.8316,0.8304811757600161,0.9028942799999999
logreg+xgb,2,"(4, 4)",0.8316,0.8304811757600161,0.9028942799999999
logreg+lgbm+xgb,3,"(5, 1, 5)",0.831,0.8297400765665928,0.90289272
logreg+lgbm+xgb,3,"(4, 1, 4)",0.8311,0.8298579631308552,0.9028900400000001
logreg+lgbm+xgb,3,"(3, 2, 2)",0.8321,0.8307289041233995,0.9028846
logreg+lgbm+xgb,3,"(5, 3, 4)",0.8322,0.830880870792179,0.90287128
logreg+lgbm+xgb,3,"(3, 1, 3)",0.8312,0.8298730094738964,0.9028690800000001
logreg+lgbm,2,"(3, 2)",0.8321,0.8309674821302728,0.90285924
logreg+lgbm,2,"(4, 3)",0.8316,0.8304470398711237,0.90285672
logreg+lgbm+xgb,3,"(5, 4, 3)",0.8315,0.8301582501763936,0.9028556799999999
logreg+lgbm,2,"(5, 4)",0.8319,0.8307320511529553,0.9028554
logreg+lgbm,2,"(5, 3)",0.8326,0.8315556449989938,0.90285388
logreg+lgbm+xgb,3,"(5, 2, 5)",0.8314,0.8300403225806452,0.90284556
logreg+lgbm+xgb,3,"(4, 3, 3)",0.832,0.8305768455022187,0.9028318799999999
logreg+lgbm+xgb,3,"(4, 4, 1)",0.832,0.8306792985285225,0.9028271999999999
logreg+lgbm+xgb,3,"(5, 1, 1)",0.8336,0.8328646042587384,0.90282692
logreg+lgbm+xgb,3,"(5, 5, 1)",0.832,0.8307134220072552,0.9028261599999999
logreg+lgbm+xgb,3,"(4, 2, 4)",0.8319,0.8304589006555724,0.90281704
logreg+lgbm+xgb,3,"(2, 1, 2)",0.8319,0.8304589006555724,0.90281704
logreg+lgbm+xgb,3,"(3, 3, 1)",0.8316,0.8302077031659609,0.9028154
logreg+lgbm,2,"(2, 1)",0.833,0.83209330384074,0.9028090400000001
logreg+lgbm,2,"(4, 2)",0.833,0.83209330384074,0.9028090400000001
logreg+xgb,2,"(5, 2)",0.833,0.832228249949769,0.90280284
logreg+lgbm+xgb,3,"(5, 5, 2)",0.8316,0.8302761540012095,0.9028020000000001
logreg+lgbm,2,"(1, 1)",0.8322,0.830983078162772,0.9028014400000001
logreg+lgbm,2,"(5, 5)",0.8322,0.830983078162772,0.9028014400000001
logreg+lgbm,2,"(4, 4)",0.8322,0.830983078162772,0.9028014400000001
logreg+lgbm,2,"(3, 3)",0.8322,0.830983078162772,0.9028014400000001
logreg+lgbm,2,"(2, 2)",0.8322,0.830983078162772,0.9028014400000001
